year,country,counterpart_type,value,percent
2018-2022,El Salvador,Multilateral,540147185.88,39.4
2018-2022,El Salvador,Private,769591524.96,56.1
2018-2022,El Salvador,China,745000.0,0.1
2023-2025 (projected),El Salvador,Bilateral,45402674.666666664,2.9
2023-2025 (projected),El Salvador,Multilateral,737127437.0666666,47.6
2023-2025 (projected),El Salvador,Private,764966705.4666667,49.4
2023-2025 (projected),El Salvador,China,153500.0,0.0
2010-2014,Eritrea,Bilateral,15536791.059999999,28.5
2010-2014,Eritrea,Multilateral,14850583.780000001,27.2
2010-2014,Eritrea,China,24138410.44,44.3
2018-2022,Eritrea,Bilateral,10151818.1,47.7
2018-2022,Eritrea,Multilateral,5581737.92,26.2
2018-2022,Eritrea,China,5543396.9,26.1
2023-2025 (projected),Eritrea,Bilateral,7218178.766666667,20.5
2023-2025 (projected),Eritrea,Multilateral,24542150.433333334,69.8
2023-2025 (projected),Eritrea,China,3413909.0999999996,9.7
2010-2014,Eswatini,Bilateral,9856629.64,22.7
2010-2014,Eswatini,Multilateral,29972811.72,69.2
2010-2014,Eswatini,Private,3234880.3600000003,7.5
2010-2014,Eswatini,China,269600.0,0.6
2018-2022,Eswatini,Bilateral,18433245.62,33.4
2018-2022,Eswatini,Multilateral,27268488.619999997,49.4
2018-2022,Eswatini,Private,2296685.98,4.2
2018-2022,Eswatini,China,7232000.0,13.1
2023-2025 (projected),Eswatini,Bilateral,10171375.566666666,11.4
2023-2025 (projected),Eswatini,Multilateral,58961293.199999996,65.9
2023-2025 (projected),Eswatini,Private,1191629.5,1.3
2023-2025 (projected),Eswatini,China,19207222.2,21.5
2010-2014,Ethiopia,Bilateral,53924407.48,11.5
2010-2014,Ethiopia,Multilateral,74232688.42,15.8
2010-2014,Ethiopia,Private,171245993.5,36.5
2010-2014,Ethiopia,China,170095367.76,36.2
2018-2022,Ethiopia,Bilateral,182692163.26,9.5
2018-2022,Ethiopia,Multilateral,244792620.16,12.7
2018-2022,Ethiopia,Private,717087652.86,37.1
2018-2022,Ethiopia,China,785869224.58,40.7
2023-2025 (projected),Ethiopia,Bilateral,185895880.80000004,5.7
2023-2025 (projected),Ethiopia,Multilateral,574023772.6666666,17.6
2023-2025 (projected),Ethiopia,Private,1029222350.6333333,31.5
2023-2025 (projected),Ethiopia,China,1480403684.5666668,45.3
2010-2014,Fiji,Bilateral,5782584.0200000005,8.2
2010-2014,Fiji,Multilateral,10521347.82,15.0
2010-2014,Fiji,Private,49875100.0,71.0
2010-2014,Fiji,China,4031845.7600000002,5.7
2018-2022,Fiji,Bilateral,33544232.139999997,21.3
2018-2022,Fiji,Multilateral,22368363.880000003,14.2
2018-2022,Fiji,Private,77708333.33333333,49.3
2018-2022,Fiji,China,23972318.8,15.2
2023-2025 (projected),Fiji,Bilateral,6548053.466666666,4.5
2023-2025 (projected),Fiji,Multilateral,110136096.7,75.2
2023-2025 (projected),Fiji,China,29699649.599999998,20.3
2010-2014,Gabon,Bilateral,71780928.72,12.1
2010-2014,Gabon,Multilateral,68034972.78,11.5
2010-2014,Gabon,Private,431566968.7,72.8
2010-2014,Gabon,China,21607673.32,3.6
2018-2022,Gabon,Bilateral,30652784.440000005,3.5
2018-2022,Gabon,Multilateral,146259733.1,16.6
2018-2022,Gabon,Private,589194851.72,66.9
2018-2022,Gabon,China,114342632.32000001,13.0
2023-2025 (projected),Gabon,Bilateral,91788101.39999999,9.6
2023-2025 (projected),Gabon,Multilateral,225891802.0666667,23.7
2023-2025 (projected),Gabon,Private,463499044.9666667,48.5
2023-2025 (projected),Gabon,China,173876743.63333333,18.2
2010-2014,Gambia,Bilateral,9833262.7,23.5
2010-2014,Gambia,Multilateral,15239128.34,36.4
2010-2014,Gambia,Private,2485694.9,5.9
2010-2014,Gambia,China,14280134.1,34.1
2018-2022,Gambia,Bilateral,8015598.5200000005,23.3
2018-2022,Gambia,Multilateral,23736329.54,69.0
2018-2022,Gambia,Private,2200303.08,6.4
2018-2022,Gambia,China,463707.825,1.3
2023-2025 (projected),Gambia,Bilateral,27508947.666666668,25.8
2023-2025 (projected),Gambia,Multilateral,66278561.4,62.2
2023-2025 (projected),Gambia,China,12817205.799999999,12.0
2010-2014,Georgia,Bilateral,48717222.42,13.5
2010-2014,Georgia,Multilateral,58997464.52,16.3
2010-2014,Georgia,Private,252898621.11999997,70.0
2010-2014,Georgia,China,486284.95,0.1
2018-2022,Georgia,Bilateral,87570901.22,12.2
2018-2022,Georgia,Multilateral,257167356.7,35.9
2018-2022,Georgia,Private,371645043.65999997,51.8
2018-2022,Georgia,China,446968.57999999996,0.1
2023-2025 (projected),Georgia,Bilateral,125904720.96666665,19.2
2023-2025 (projected),Georgia,Multilateral,488269911.4666667,74.4
2023-2025 (projected),Georgia,Private,41965704.6,6.4
2010-2014,Ghana,Bilateral,87481092.84,19.3
2010-2014,Ghana,Multilateral,59059378.02,13.0
2010-2014,Ghana,Private,225587902.43999997,49.7
2010-2014,Ghana,China,82161329.91999999,18.1
2018-2022,Ghana,Bilateral,182387356.06,7.6
2018-2022,Ghana,Multilateral,170416190.35999998,7.1
2018-2022,Ghana,Private,1717205068.6,71.8
2018-2022,Ghana,China,322921419.21999997,13.5
2023-2025 (projected),Ghana,Bilateral,239362968.0,7.8
2023-2025 (projected),Ghana,Multilateral,464478271.6666667,15.2
2023-2025 (projected),Ghana,Private,1960388356.8,64.1
2023-2025 (projected),Ghana,China,396406245.76666665,13.0
2010-2014,Grenada,Bilateral,4511815.720000001,20.6
2010-2014,Grenada,Multilateral,12189342.059999999,55.5
2010-2014,Grenada,Private,5250825.0,23.9
2018-2022,Grenada,Bilateral,9573161.919999998,20.0
2018-2022,Grenada,Multilateral,19189006.380000003,40.0
2018-2022,Grenada,Private,18685535.54,39.0
2018-2022,Grenada,China,482704.8,1.0
2023-2025 (projected),Grenada,Bilateral,12063188.200000001,22.1
2023-2025 (projected),Grenada,Multilateral,21859338.400000002,40.1
2023-2025 (projected),Grenada,Private,15422756.666666666,28.3
2023-2025 (projected),Grenada,China,5230260.9,9.6
2010-2014,Guatemala,Bilateral,26944980.0,3.9
2010-2014,Guatemala,Multilateral,452257122.21999997,65.6
2010-2014,Guatemala,Private,202674894.85999998,29.4
2010-2014,Guatemala,China,7336000.0,1.1
2018-2022,Guatemala,Bilateral,65437661.239999995,6.6
2018-2022,Guatemala,Multilateral,542049046.74,54.7
2018-2022,Guatemala,Private,381276033.15999997,38.5
2018-2022,Guatemala,China,2536000.0,0.3
2023-2025 (projected),Guatemala,Bilateral,30869070.2,3.1
2023-2025 (projected),Guatemala,Multilateral,635740869.3666667,64.9
2023-2025 (projected),Guatemala,Private,310729843.1666667,31.7
2023-2025 (projected),Guatemala,China,2743553.2,0.3
2010-2014,Guinea,Bilateral,13688858.719999999,16.5
2010-2014,Guinea,Multilateral,67197851.72,80.8
2010-2014,Guinea,China,2285824.34,2.7
2018-2022,Guinea,Bilateral,35270956.78,29.5
2018-2022,Guinea,Multilateral,46526387.160000004,38.9
2018-2022,Guinea,China,37698622.82,31.5
2023-2025 (projected),Guinea,Bilateral,77219145.16666667,12.8
2023-2025 (projected),Guinea,Multilateral,191915013.26666665,31.9
2023-2025 (projected),Guinea,Private,19267015.433333334,3.2
2023-2025 (projected),Guinea,China,314050762.8666666,52.1
2010-2014,Guinea-Bissau,Bilateral,710392.74,11.5
2010-2014,Guinea-Bissau,Multilateral,4839137.5,78.4
2010-2014,Guinea-Bissau,Private,619000.0,10.0
2018-2022,Guinea-Bissau,Bilateral,3513436.44,11.0
2018-2022,Guinea-Bissau,Multilateral,22057231.580000002,68.8
2018-2022,Guinea-Bissau,Private,6471800.0,20.2
2023-2025 (projected),Guinea-Bissau,Bilateral,8803543.3,13.3
2023-2025 (projected),Guinea-Bissau,Multilateral,38159767.23333333,57.6
2023-2025 (projected),Guinea-Bissau,Private,19296000.0,29.1
2010-2014,Guyana,Bilateral,28363871.6,53.0
2010-2014,Guyana,Multilateral,20388327.54,38.1
2010-2014,Guyana,Private,12000.0,0.0
2010-2014,Guyana,China,4772707.74,8.9
2018-2022,Guyana,Bilateral,12786504.98,16.2
2018-2022,Guyana,Multilateral,44654666.8,56.7
2018-2022,Guyana,Private,1799800.0,2.3
2018-2022,Guyana,China,19495098.419999998,24.8
2023-2025 (projected),Guyana,Bilateral,17352921.633333337,12.9
2023-2025 (projected),Guyana,Multilateral,81006924.10000001,60.4
2023-2025 (projected),Guyana,Private,2105066.6666666665,1.6
2023-2025 (projected),Guyana,China,33656572.699999996,25.1
2010-2014,Haiti,Bilateral,22704273.38,63.9
2010-2014,Haiti,Multilateral,10834322.78,30.5
2010-2014,Haiti,Private,1995800.0,5.6
2018-2022,Haiti,Bilateral,6692200.0,45.9
2018-2022,Haiti,Multilateral,4915307.4399999995,33.7
2018-2022,Haiti,Private,2968600.0,20.4
2023-2025 (projected),Haiti,Bilateral,144136113.4,91.9
2023-2025 (projected),Haiti,Multilateral,8406715.966666667,5.4
2023-2025 (projected),Haiti,Private,4229391.3,2.7
2010-2014,Honduras,Bilateral,28172455.28,16.5
2010-2014,Honduras,Multilateral,107743884.4,63.2
2010-2014,Honduras,Private,29648110.18,17.4
2010-2014,Honduras,China,4808600.0,2.8
2018-2022,Honduras,Bilateral,52993030.46,7.6
2018-2022,Honduras,Multilateral,316809171.3,45.6
2018-2022,Honduras,Private,286710190.54,41.3
2018-2022,Honduras,China,37987600.0,5.5
2023-2025 (projected),Honduras,Bilateral,83177084.86666666,8.7
2023-2025 (projected),Honduras,Multilateral,635568396.4666667,66.5
2023-2025 (projected),Honduras,Private,167325425.36666664,17.5
2023-2025 (projected),Honduras,China,69775944.4,7.3
2010-2014,India,Bilateral,2091977233.2,22.5
2010-2014,India,Multilateral,2499076875.16,26.9
2010-2014,India,Private,4599678062.339999,49.6
2010-2014,India,China,87344327.66666667,0.9
2018-2022,India,Bilateral,2298359348.6,11.5
2018-2022,India,Multilateral,5079117571.46,25.4
2018-2022,India,Private,12610014949.3,63.1
2023-2025 (projected),India,Bilateral,3071684265.2999997,10.4
2023-2025 (projected),India,Multilateral,9714092545.0,32.8
2023-2025 (projected),India,Private,16796279746.0,56.8
2010-2014,Indonesia,Bilateral,4181309190.0399995,29.7
2010-2014,Indonesia,Multilateral,2200759464.72,15.6
2010-2014,Indonesia,Private,7645461457.58,54.2
2010-2014,Indonesia,China,73724073.12,0.5
2018-2022,Indonesia,Bilateral,2887919397.62,10.3
2018-2022,Indonesia,Multilateral,2981339497.42,10.6
2018-2022,Indonesia,Private,21980889795.760002,78.3
2018-2022,Indonesia,China,222844440.9,0.8
2023-2025 (projected),Indonesia,Bilateral,2083090435.0,7.4
2023-2025 (projected),Indonesia,Multilateral,4860849018.766666,17.2
2023-2025 (projected),Indonesia,Private,21092523752.766666,74.6
2023-2025 (projected),Indonesia,China,245797523.0333333,0.9
2010-2014,Iran,Bilateral,152608824.28,16.6
2010-2014,Iran,Multilateral,88753929.94000001,9.7
2010-2014,Iran,Private,570202771.8199999,62.2
2010-2014,Iran,China,105672000.0,11.5
2018-2022,Iran,Bilateral,21831394.72,17.2
2018-2022,Iran,Multilateral,65892364.5,52.0
2018-2022,Iran,Private,13442757.200000001,10.6
2018-2022,Iran,China,25482000.0,20.1
2023-2025 (projected),Iran,Bilateral,22405567.566666666,47.0
2023-2025 (projected),Iran,Multilateral,13454742.700000001,28.2
2023-2025 (projected),Iran,Private,11776230.633333333,24.7
2018-2022,Iraq,Bilateral,1593049367.7,56.9
2018-2022,Iraq,Multilateral,213111003.1,7.6
2018-2022,Iraq,Private,826882976.48,29.5
2018-2022,Iraq,China,168466800.0,6.0
2023-2025 (projected),Iraq,Bilateral,1573472618.2666667,45.5
2023-2025 (projected),Iraq,Multilateral,616247748.9,17.8
2023-2025 (projected),Iraq,Private,1111685202.0666666,32.2
2023-2025 (projected),Iraq,China,155708000.0,4.5
2010-2014,Jamaica,Bilateral,84874142.1,8.8
2010-2014,Jamaica,Multilateral,197509979.07999998,20.4
2010-2014,Jamaica,Private,666371764.4200001,68.9
2010-2014,Jamaica,China,18599391.880000003,1.9
2018-2022,Jamaica,Bilateral,28600590.060000002,2.3
2018-2022,Jamaica,Multilateral,268133332.1,21.6
2018-2022,Jamaica,Private,858163284.1,69.1
2018-2022,Jamaica,China,86968996.74,7.0
2023-2025 (projected),Jamaica,Bilateral,3700545.9,0.3
2023-2025 (projected),Jamaica,Multilateral,361953644.0333333,33.3
2023-2025 (projected),Jamaica,Private,603087222.2333332,55.4
2023-2025 (projected),Jamaica,China,119362836.26666667,11.0
2010-2014,Jordan,Bilateral,248875503.85999998,31.6
2010-2014,Jordan,Multilateral,455860964.4,57.9
2010-2014,Jordan,Private,81791281.17999999,10.4
2010-2014,Jordan,China,430597.07999999996,0.1
2018-2022,Jordan,Bilateral,278698486.62,11.8
2018-2022,Jordan,Multilateral,478594543.3,20.3
2018-2022,Jordan,Private,1593791999.7,67.7
2018-2022,Jordan,China,2352606.06,0.1
2023-2025 (projected),Jordan,Bilateral,291572294.7,15.2
2023-2025 (projected),Jordan,Multilateral,640683280.3333334,33.3
2023-2025 (projected),Jordan,Private,988354559.5666666,51.4
2023-2025 (projected),Jordan,China,2785332.6,0.1
2010-2014,Kazakhstan,Bilateral,109064889.3,20.9
2010-2014,Kazakhstan,Multilateral,261497581.01999998,50.2
2010-2014,Kazakhstan,Private,150252333.33333334,28.8
2018-2022,Kazakhstan,Bilateral,54296016.260000005,2.6
2018-2022,Kazakhstan,Multilateral,829174562.2,39.7
2018-2022,Kazakhstan,Private,1080765819.3,51.8
2018-2022,Kazakhstan,China,123707745.24000001,5.9
2023-2025 (projected),Kazakhstan,Bilateral,32743477.599999994,0.9
2023-2025 (projected),Kazakhstan,Multilateral,1143048622.6000001,31.2
2023-2025 (projected),Kazakhstan,Private,2202293177.2999997,60.0
2023-2025 (projected),Kazakhstan,China,289945848.40000004,7.9
2010-2014,Kenya,Bilateral,205350279.35999998,35.5
2010-2014,Kenya,Multilateral,173348342.2,29.9
2010-2014,Kenya,Private,168817167.16,29.2
2010-2014,Kenya,China,31280763.18,5.4
2018-2022,Kenya,Bilateral,227980236.14000002,8.3
2018-2022,Kenya,Multilateral,908244784.3,32.9
2018-2022,Kenya,Private,1024006489.4,37.1
2018-2022,Kenya,China,598825758.1800001,21.7
2023-2025 (projected),Kenya,Bilateral,375551049.26666665,8.7
2023-2025 (projected),Kenya,Multilateral,1351177763.6333334,31.3
2023-2025 (projected),Kenya,Private,1321038880.1333334,30.6
2023-2025 (projected),Kenya,China,1264614609.8666668,29.3
2010-2014,Kosovo,Bilateral,297948.1,1.1
2010-2014,Kosovo,Multilateral,26564000.0,98.5
2010-2014,Kosovo,Private,98347.3,0.4
2018-2022,Kosovo,Bilateral,9698145.540000001,24.7
2018-2022,Kosovo,Multilateral,29175435.439999998,74.2
2018-2022,Kosovo,Private,456834.52,1.2
2023-2025 (projected),Kosovo,Bilateral,5576955.8,4.7
2023-2025 (projected),Kosovo,Multilateral,109238977.96666665,92.9
2023-2025 (projected),Kosovo,Private,2821897.4333333336,2.4
2010-2014,Kyrgyz Republic,Bilateral,16405717.059999999,20.7
2010-2014,Kyrgyz Republic,Multilateral,52809091.08,66.5
2010-2014,Kyrgyz Republic,China,10146954.7,12.8
2018-2022,Kyrgyz Republic,Bilateral,23268473.0,12.7
2018-2022,Kyrgyz Republic,Multilateral,90093224.36,49.2
2018-2022,Kyrgyz Republic,China,69585819.12,38.0
2023-2025 (projected),Kyrgyz Republic,Bilateral,37498506.199999996,10.7
2023-2025 (projected),Kyrgyz Republic,Multilateral,158441040.93333337,45.3
2023-2025 (projected),Kyrgyz Republic,China,154143409.6,44.0
2010-2014,Laos,Bilateral,32826760.380000003,20.3
2010-2014,Laos,Multilateral,87086269.26,53.9
2010-2014,Laos,Private,3701131.16,2.3
2010-2014,Laos,China,37855487.06,23.4
2018-2022,Laos,Bilateral,100795232.02000001,16.1
2018-2022,Laos,Multilateral,103694429.76,16.5
2018-2022,Laos,Private,304238582.71999997,48.5
2018-2022,Laos,China,118633342.22,18.9
2023-2025 (projected),Laos,Bilateral,231382959.9333333,15.1
2023-2025 (projected),Laos,Multilateral,146566915.66666666,9.5
2023-2025 (projected),Laos,Private,355920800.06666666,23.2
2023-2025 (projected),Laos,China,801365334.6333333,52.2
2010-2014,Lebanon,Bilateral,179479290.5,4.4
2010-2014,Lebanon,Multilateral,239563897.5,5.9
2010-2014,Lebanon,Private,3632328124.44,89.7
2018-2022,Lebanon,Bilateral,100031697.5,4.7
2018-2022,Lebanon,Multilateral,138784327.74,6.6
2018-2022,Lebanon,Private,1870036808.0,88.7
2023-2025 (projected),Lebanon,Bilateral,80984341.8,2.3
2023-2025 (projected),Lebanon,Multilateral,317779778.6666667,8.9
2023-2025 (projected),Lebanon,Private,3157585511.933333,88.8
2010-2014,Lesotho,Bilateral,3668283.4200000004,10.4
2010-2014,Lesotho,Multilateral,27931626.76,79.5
2010-2014,Lesotho,Private,2061310.28,5.9
2010-2014,Lesotho,China,1481679.6199999999,4.2
2018-2022,Lesotho,Bilateral,6217316.159999999,4.1
2018-2022,Lesotho,Multilateral,139530689.84,91.9
2018-2022,Lesotho,Private,395931.94,0.3
2018-2022,Lesotho,China,5675576.76,3.7
2023-2025 (projected),Lesotho,Bilateral,20136012.166666668,20.9
2023-2025 (projected),Lesotho,Multilateral,59114389.166666664,61.4
2023-2025 (projected),Lesotho,Private,405104.8333333333,0.4
2023-2025 (projected),Lesotho,China,16622213.799999999,17.3
2010-2014,Liberia,Bilateral,1427008.075,20.9
2010-2014,Liberia,Multilateral,5254034.32,77.0
2010-2014,Liberia,China,141500.0,2.1
2018-2022,Liberia,Bilateral,3530786.6399999997,17.6
2018-2022,Liberia,Multilateral,15379440.739999998,76.8
2018-2022,Liberia,China,1116193.94,5.6
2023-2025 (projected),Liberia,Bilateral,11850243.100000001,17.5
2023-2025 (projected),Liberia,Multilateral,52186880.43333334,76.9
2023-2025 (projected),Liberia,China,3860114.766666667,5.7
2010-2014,Madagascar,Bilateral,23080320.380000003,40.2
2010-2014,Madagascar,Multilateral,32197141.48,56.1
2010-2014,Madagascar,Private,39533.075,0.1
2010-2014,Madagascar,China,2108560.06,3.7
2018-2022,Madagascar,Bilateral,20058148.5,17.7
2018-2022,Madagascar,Multilateral,68699216.64,60.6
2018-2022,Madagascar,Private,17467450.619999997,15.4
2018-2022,Madagascar,China,7096765.9,6.3
2023-2025 (projected),Madagascar,Bilateral,57326446.0,16.9
2023-2025 (projected),Madagascar,Multilateral,201314467.33333334,59.4
2023-2025 (projected),Madagascar,Private,63532404.06666667,18.8
2023-2025 (projected),Madagascar,China,16468823.933333332,4.9
2010-2014,Malawi,Bilateral,6653818.4399999995,23.0
2010-2014,Malawi,Multilateral,18754825.759999998,64.8
2010-2014,Malawi,Private,1124191.5666666667,3.9
2010-2014,Malawi,China,2413168.42,8.3
2018-2022,Malawi,Bilateral,18422788.240000002,23.7
2018-2022,Malawi,Multilateral,41395029.22,53.2
2018-2022,Malawi,China,18005766.98,23.1
2023-2025 (projected),Malawi,Bilateral,20849829.066666666,14.5
2023-2025 (projected),Malawi,Multilateral,101196701.8,70.4
2023-2025 (projected),Malawi,China,21766549.333333332,15.1
2010-2014,Maldives,Bilateral,46679198.36,52.4
2010-2014,Maldives,Multilateral,18894574.02,21.2
2010-2014,Maldives,Private,22027622.54,24.7
2010-2014,Maldives,China,1443924.28,1.6
2018-2022,Maldives,Bilateral,156926117.68,32.6
2018-2022,Maldives,Multilateral,131195602.17999999,27.2
2018-2022,Maldives,Private,116534458.38,24.2
2018-2022,Maldives,China,77257331.94000001,16.0
2023-2025 (projected),Maldives,Bilateral,91256660.73333333,17.8
2023-2025 (projected),Maldives,Multilateral,100811637.89999999,19.6
2023-2025 (projected),Maldives,Private,129207094.13333333,25.1
2023-2025 (projected),Maldives,China,192788396.03333333,37.5
2010-2014,Mali,Bilateral,19550352.3,24.4
2010-2014,Mali,Multilateral,51991139.239999995,65.0
2010-2014,Mali,Private,1213513.46,1.5
2010-2014,Mali,China,7286133.4799999995,9.1
2018-2022,Mali,Bilateral,50183134.0,22.0
2018-2022,Mali,Multilateral,137241167.07999998,60.2
2018-2022,Mali,Private,110025.15,0.0
2018-2022,Mali,China,40456653.839999996,17.7
2023-2025 (projected),Mali,Bilateral,103305089.73333333,25.4
2023-2025 (projected),Mali,Multilateral,226444031.53333333,55.6
2023-2025 (projected),Mali,China,77488882.23333333,19.0
2010-2014,Mauritania,Bilateral,34681519.160000004,21.4
2010-2014,Mauritania,Multilateral,113769925.96,70.3
2010-2014,Mauritania,Private,6487558.399999999,4.0
2010-2014,Mauritania,China,6901798.1,4.3
2018-2022,Mauritania,Bilateral,92055633.36,27.0
2018-2022,Mauritania,Multilateral,225771786.8,66.2
2018-2022,Mauritania,China,23287899.96,6.8
2023-2025 (projected),Mauritania,Bilateral,141335248.46666667,27.0
2023-2025 (projected),Mauritania,Multilateral,276426454.8333333,52.8
2023-2025 (projected),Mauritania,China,105661357.83333333,20.2
2010-2014,Mauritius,Bilateral,31229742.0,32.0
2010-2014,Mauritius,Multilateral,36872747.78,37.8
2010-2014,Mauritius,Private,18968719.380000003,19.4
2010-2014,Mauritius,China,10466470.02,10.7
2018-2022,Mauritius,Bilateral,53278634.739999995,24.2
2018-2022,Mauritius,Multilateral,104187038.9,47.3
2018-2022,Mauritius,Private,15092220.580000002,6.8
2018-2022,Mauritius,China,47842438.120000005,21.7
2023-2025 (projected),Mauritius,Bilateral,83964224.7,13.9
2023-2025 (projected),Mauritius,Multilateral,73343377.93333334,12.1
2023-2025 (projected),Mauritius,Private,408830717.3333333,67.6
2023-2025 (projected),Mauritius,China,38312094.53333333,6.3
2010-2014,Mexico,Bilateral,592841114.28,2.5
2010-2014,Mexico,Multilateral,1537991301.84,6.5
2010-2014,Mexico,Private,21561564342.94,91.0
2018-2022,Mexico,Bilateral,494810054.64,1.3
2018-2022,Mexico,Multilateral,2300901400.0,6.0
2018-2022,Mexico,Private,35553659912.159996,92.7
2023-2025 (projected),Mexico,Bilateral,267415024.9,0.8
2023-2025 (projected),Mexico,Multilateral,4558188353.3,14.1
2023-2025 (projected),Mexico,Private,27601802971.733334,85.1
2010-2014,Moldova,Bilateral,31654909.72,37.8
2010-2014,Moldova,Multilateral,38512899.08,45.9
2010-2014,Moldova,Private,6692755.3,8.0
2010-2014,Moldova,China,6955400.0,8.3
2018-2022,Moldova,Bilateral,50910139.95999999,37.8
2018-2022,Moldova,Multilateral,81945718.03999999,60.9
2018-2022,Moldova,Private,1793401.0,1.3
2023-2025 (projected),Moldova,Bilateral,9767554.766666666,3.0
2023-2025 (projected),Moldova,Multilateral,310028757.09999996,96.3
2023-2025 (projected),Moldova,Private,2067612.2666666666,0.6
2010-2014,Mongolia,Bilateral,40712915.739999995,28.1
2010-2014,Mongolia,Multilateral,37013753.46,25.6
2010-2014,Mongolia,Private,61696767.699999996,42.6
2010-2014,Mongolia,China,5247200.0,3.6
2018-2022,Mongolia,Bilateral,52491117.78,5.0
2018-2022,Mongolia,Multilateral,119534075.38,11.5
2018-2022,Mongolia,Private,835713331.26,80.2
2018-2022,Mongolia,China,33851036.45,3.2
2023-2025 (projected),Mongolia,Bilateral,184774361.19999996,10.7
2023-2025 (projected),Mongolia,Multilateral,322241960.63333327,18.7
2023-2025 (projected),Mongolia,Private,495534238.5,28.7
2023-2025 (projected),Mongolia,China,723947799.9,41.9
2010-2014,Montenegro,Bilateral,34610081.06,14.8
2010-2014,Montenegro,Multilateral,49592909.160000004,21.2
2010-2014,Montenegro,Private,148103176.76,63.4
2010-2014,Montenegro,China,1260314.2,0.5
2018-2022,Montenegro,Bilateral,40021450.760000005,6.8
2018-2022,Montenegro,Multilateral,99552182.12,16.8
2018-2022,Montenegro,Private,412551389.02,69.6
2018-2022,Montenegro,China,40521200.0,6.8
2023-2025 (projected),Montenegro,Bilateral,33322553.766666666,6.8
2023-2025 (projected),Montenegro,Multilateral,99342996.56666666,20.4
2023-2025 (projected),Montenegro,Private,219681854.4333333,45.1
2023-2025 (projected),Montenegro,China,134251844.36666664,27.6
2010-2014,Morocco,Bilateral,766489254.38,31.2
2010-2014,Morocco,Multilateral,1207124825.04,49.1
2010-2014,Morocco,Private,426780119.26,17.4
2010-2014,Morocco,China,59197088.239999995,2.4
2018-2022,Morocco,Bilateral,919246874.0799999,23.4
2018-2022,Morocco,Multilateral,1483957727.8799999,37.8
2018-2022,Morocco,Private,1452175921.98,37.0
2018-2022,Morocco,China,65367025.220000006,1.7
2023-2025 (projected),Morocco,Bilateral,1419563816.0,25.2
2023-2025 (projected),Morocco,Multilateral,2444302320.0666666,43.4
2023-2025 (projected),Morocco,Private,1736334717.0333335,30.8
2023-2025 (projected),Morocco,China,33794706.76666667,0.6
2010-2014,Mozambique,Bilateral,33069009.96,19.9
2010-2014,Mozambique,Multilateral,61193800.339999996,36.9
2010-2014,Mozambique,Private,62814049.92,37.8
2010-2014,Mozambique,China,8878620.1,5.4
2018-2022,Mozambique,Bilateral,65232942.720000006,11.1
2018-2022,Mozambique,Multilateral,120948708.35999998,20.6
2018-2022,Mozambique,Private,234840702.42,40.0
2018-2022,Mozambique,China,165759089.3,28.2
2023-2025 (projected),Mozambique,Bilateral,224344152.5666667,27.7
2023-2025 (projected),Mozambique,Multilateral,210926351.83333334,26.0
2023-2025 (projected),Mozambique,Private,134415975.43333334,16.6
2023-2025 (projected),Mozambique,China,241007509.19999996,29.7
2010-2014,Myanmar,Bilateral,546075037.3,58.2
2010-2014,Myanmar,Multilateral,218128362.34,23.3
2010-2014,Myanmar,Private,23716394.060000002,2.5
2010-2014,Myanmar,China,149989856.9,16.0
2018-2022,Myanmar,Bilateral,162225873.51999998,22.2
2018-2022,Myanmar,Multilateral,74995135.8,10.3
2018-2022,Myanmar,Private,32113323.52,4.4
2018-2022,Myanmar,China,460266815.62,63.1
2023-2025 (projected),Myanmar,Bilateral,398757044.5333333,38.9
2023-2025 (projected),Myanmar,Multilateral,150678287.56666666,14.7
2023-2025 (projected),Myanmar,Private,2665798.7,0.3
2023-2025 (projected),Myanmar,China,472368127.56666666,46.1
2010-2014,Nepal,Bilateral,37148080.980000004,18.8
2010-2014,Nepal,Multilateral,158494773.3,80.4
2010-2014,Nepal,Private,570047.7,0.3
2010-2014,Nepal,China,889788.5249999999,0.5
2018-2022,Nepal,Bilateral,34772615.18,13.3
2018-2022,Nepal,Multilateral,221846694.6,85.0
2018-2022,Nepal,Private,14395.949999999999,0.0
2018-2022,Nepal,China,4334493.159999999,1.7
2023-2025 (projected),Nepal,Bilateral,106447843.23333333,21.5
2023-2025 (projected),Nepal,Multilateral,347034024.76666665,70.2
2023-2025 (projected),Nepal,China,41175365.1,8.3
2010-2014,Nicaragua,Bilateral,31533912.02,31.6
2010-2014,Nicaragua,Multilateral,67396994.53999999,67.5
2010-2014,Nicaragua,Private,905792.9400000001,0.9
2018-2022,Nicaragua,Bilateral,47058112.64,14.1
2018-2022,Nicaragua,Multilateral,284118028.41999996,85.1
2018-2022,Nicaragua,Private,2559221.1799999997,0.8
2023-2025 (projected),Nicaragua,Bilateral,40615170.23333334,5.7
2023-2025 (projected),Nicaragua,Multilateral,669873395.3000001,94.2
2023-2025 (projected),Nicaragua,Private,851866.3666666667,0.1
2010-2014,Niger,Bilateral,4180767.9,7.0
2010-2014,Niger,Multilateral,28324665.660000004,47.2
2010-2014,Niger,China,27567932.233333334,45.9
2018-2022,Niger,Bilateral,15197956.1,8.6
2018-2022,Niger,Multilateral,112436917.32000001,63.4
2018-2022,Niger,Private,11405028.333333334,6.4
2018-2022,Niger,China,38195879.36,21.6
